start_ts,end_ts,duration,program
1383754010,1383761791,7781,Google Chrome
1383763778,1383764956,1178,Google Chrome
1383768060,1383768436,376,Google Chrome
1383769964,1383770148,184,Google Chrome
1383772271,1383772350,79,Google Chrome
1383774483,1383774948,465,Google Chrome
1383775951,1383776313,362,Google Chrome
1383807661,1383808010,349,Google Chrome
1383842812,1383843180,368,Google Chrome
1383844513,1383862741,18228,Google Chrome
1383864575,1383865697,1122,Google Chrome
1383894945,1383895265,320,Google Chrome
1383901192,1383901483,291,Google Chrome
1383902837,1383905093,2256,Google Chrome
1383911547,1383911622,75,Google Chrome
1383912688,1383912805,117,Google Chrome
1383919256,1383919335,79,Google Chrome
1383925791,1383925869,78,Google Chrome
1383932325,1383932403,78,Google Chrome
1383938860,1383938938,78,Google Chrome
1383940620,1383941769,1149,Google Chrome
1383944014,1383947027,3013,Google Chrome
1383950056,1383955200,5144,Google Chrome
1383955200,1383956145,945,Google Chrome
1383990875,1383994801,3926,Google Chrome
1383999559,1384001842,2283,Google Chrome
1384004991,1384005036,45,Google Chrome
1384010760,1384011380,620,Google Chrome
1384017841,1384017910,69,Google Chrome
1384024377,1384024451,74,Google Chrome
1384025665,1384028342,2677,Google Chrome
1384029959,1384030401,442,Google Chrome
1384033850,1384034088,238,Google Chrome
1384036414,1384040544,4130,Google Chrome
1384074018,1384075847,1829,Google Chrome
1384077554,1384080051,2497,Google Chrome
1384092631,1384092837,206,Google Chrome
1384094578,1384095552,974,Google Chrome
1384102013,1384102083,70,Google Chrome
1384108547,1384110065,1518,Google Chrome
1384113294,1384113359,65,Google Chrome
1384117200,1384117476,276,Google Chrome
1384118969,1384119378,409,Google Chrome
1384120974,1384121577,603,Google Chrome
1384123496,1384123760,264,Google Chrome
1384124954,1384125180,226,Google Chrome
1384150433,1384150623,190,Google Chrome
1384184210,1384185857,1647,Google Chrome
1384189251,1384190412,1161,Google Chrome
1384192980,1384193233,253,Google Chrome
1384205928,1384206068,140,Google Chrome
1384236532,1384236616,84,Google Chrome
1384273721,1384276228,2507,Google Chrome
1384277385,1384282140,4755,Google Chrome
1384286057,1384286223,166,Google Chrome
1384289160,1384290184,1024,Google Chrome
1384292871,1384294378,1507,Google Chrome
1384323404,1384323478,74,Google Chrome
1384327380,1384327451,71,Google Chrome
1384357735,1384363419,5684,Google Chrome
1384366332,1384367024,692,Google Chrome
1384379782,1384380032,250,Google Chrome
1384411726,1384411879,153,Google Chrome
1384416616,1384417198,582,Google Chrome
1384423659,1384423727,68,Google Chrome
1384430191,1384430261,70,Google Chrome
1384436726,1384436796,70,Google Chrome
1384443260,1384443335,75,Google Chrome
1384449319,1384451507,2188,Google Chrome
1384454910,1384456080,1170,Google Chrome
1384459277,1384461725,2448,Google Chrome
1384464297,1384468078,3781,Google Chrome
1384470717,1384471018,301,Google Chrome
1384499501,1384500193,692,Google Chrome
1384504980,1384506542,1562,Google Chrome
1384522118,1384523181,1063,Google Chrome
1384524255,1384527697,3442,Google Chrome
1384529027,1384540938,11911,Google Chrome
1384543271,1384543442,171,Google Chrome
1384548792,1384549007,215,Google Chrome
1384550296,1384550872,576,Google Chrome
1384552221,1384552630,409,Google Chrome
1384554034,1384555704,1670,Google Chrome
1384589441,1384590473,1032,Google Chrome
1384596116,1384596254,138,Google Chrome
1384600636,1384605797,5161,Google Chrome
1384610785,1384612924,2139,Google Chrome
1384619385,1384619464,79,Google Chrome
1384625924,1384625998,74,Google Chrome
1384632459,1384632536,77,Google Chrome
1384635284,1384635838,554,Google Chrome
1384641633,1384642179,546,Google Chrome
1384677623,1384679957,2334,Google Chrome
1384682728,1384683450,722,Google Chrome
1384691151,1384691613,462,Google Chrome
1384693068,1384693260,192,Google Chrome
1384694490,1384694893,403,Google Chrome
1384699177,1384699681,504,Google Chrome
1384700709,1384705505,4796,Google Chrome
1384714294,1384714450,156,Google Chrome
1384716960,1384717343,383,Google Chrome
1384724177,1384724725,548,Google Chrome
1384726168,1384726427,259,Google Chrome
1384727529,1384727653,124,Google Chrome
1384734109,1384734184,75,Google Chrome
1384740642,1384740715,73,Google Chrome
1384747176,1384747249,73,Google Chrome
1384753708,1384754593,885,Google Chrome
1384759134,1384759313,179,Google Chrome
1384796460,1384802889,6429,Google Chrome
1384806474,1384807860,1386,Google Chrome
1384810972,1384811040,68,Google Chrome
1384812144,1384812865,721,Google Chrome
1384842354,1384843100,746,Google Chrome
1384844638,1384844776,138,Google Chrome
1384848300,1384848363,63,Google Chrome
1384849368,1384851541,2173,Google Chrome
1384853030,1384853206,176,Google Chrome
1384859664,1384859735,71,Google Chrome
1384866197,1384866270,73,Google Chrome
1384872732,1384872804,72,Google Chrome
1384879266,1384879338,72,Google Chrome
1384880945,1384885027,4082,Google Chrome
1384887478,1384888922,1444,Google Chrome
1384890636,1384891223,587,Google Chrome
1384892314,1384895237,2923,Google Chrome
1384897301,1384897487,186,Google Chrome
1384898717,1384899019,302,Google Chrome
1384927732,1384927860,128,Google Chrome
1384928990,1384929112,122,Google Chrome
1384931340,1384931554,214,Google Chrome
1384964777,1384965361,584,Google Chrome
1384967418,1384972506,5088,Google Chrome
1384974867,1384975128,261,Google Chrome
1384977427,1384977855,428,Google Chrome
1384981488,1384983148,1660,Google Chrome
1384985248,1384985585,337,Google Chrome
1385015562,1385015700,138,Google Chrome
1385022001,1385023339,1338,Google Chrome
1385054100,1385054192,92,Google Chrome
1385059865,1385060966,1101,Google Chrome
1385065603,1385065653,50,Google Chrome
1385070337,1385070498,161,Google Chrome
1385072895,1385072991,96,Google Chrome
1385102226,1385102474,248,Google Chrome
1385112425,1385113596,1171,Google Chrome
